nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
Antoine BATTUT,Aviron Bayonnais,3e ligne,1 Janvier 1984,France,192,104
CESAR BAUDIN,Stade Rochelais,2e ligne,18 Juillet 1999,France,,
WILLIAM BEAUDON,RC Toulon,Demi mêlée,24 Mars 1999,France,,
NOE BEDOU,CA Brive,3e ligne,8 Mai 2001,France,,
YOHAN BEHEREGARAY,ASM Clermont,1ère ligne,29 Mai 1996,France,,
Soso BEKOSHVILI,CA Brive,1ère ligne,3 Novembre 1993,Géorgie,,
THEO BELAN,Stade Toulousain,Centre,15 Novembre 1992,France,187,94
ANTHONY BELLEAU,RC Toulon,Demi d'ouverture,8 Avril 1996,France,177,85
EDDY BEN AROUS,Racing 92,1ère ligne,25 Août 1990,France,183,109
Axel BENJAMIN,CA Brive,1ère ligne,9 Mars 1998,France,,
Julien JANE,SU Agen,Ailier,12 Septembre 1989,France,,
Adam JAULHAC,Aviron Bayonnais,2e ligne,31 Janvier 1988,France,198,123
PAUL JEDRASIAK,ASM Clermont,2e ligne,6 Février 1993,France,,
Jessy JEGERLEHNER,SU Agen,3e ligne,27 Mai 1997,France,,
Anthony JELONCH,Castres Olympique,3e ligne,28 Juillet 1996,France,,
Jody JENNEKER,Castres Olympique,1ère ligne,10 Avril 1984,Afrique du Sud,185,106
CENSUS JOHNSTON,Aviron Bayonnais,1ère ligne,6 Mai 1981,Samoa américain,189,127
James JOHNSTON,CA Brive,1ère ligne,6 Mars 1986,Nouvelle Zélande,,
THOMAS JOLMES,Stade Rochelais,2e ligne,8 Octobre 1995,France,,
Arthur JOLY,Stade Rochelais,1ère ligne,20 Février 1988,France,189,123
Jeremy JORDAAN,SU Agen,3e ligne,6 Janvier 1991,Afrique du Sud,,
JORDAN JOSEPH,Racing 92,2e ligne,31 Juillet 2000,France,,
Come Clayver JOUSSAIN,Stade Français Paris,2e ligne,18 Janvier 2001,France,,
Hamza KAABECHE,LOU Rugby,1ère ligne,23 Septembre 1996,France,,
BEKA KAKABADZE,ASM Clermont,1ère ligne,7 Septembre 1995,Géorgie,,
VASIL KAKOVIN,Racing 92,1ère ligne,1 Décembre 1989,Géorgie,183,110
KITIONE KAMIKAMICA,CA Brive,3e ligne,27 Avril 1996,Fidji,,
LEKSO KAULASHVILI,Union Bordeaux-Bègles,1ère ligne,27 Août 1992,Géorgie,,
Tawera KERR BARLOW,Stade Rochelais,Demi mêlée,15 Août 1990,Nouvelle Zélande,,
ZENO KIEFT,Stade Rochelais,3e ligne,2 Novembre 1991,Pays-Bas,191,102
Ian KITWANGA,Union Bordeaux-Bègles,2e ligne,21 Février 1999,Congo (Brazzaville),,
OLIVIER KLEMENCZAK,Racing 92,Centre,1 Juin 1996,France,,
Rory KOCKOTT,Castres Olympique,Demi mêlée,25 Juin 1986,Afrique du Sud,180,92
Cheslin KOLBE,Stade Toulousain,Arrière,28 Octobre 1993,Afrique du Sud,,
HASSANE KOLINGAR,Racing 92,1ère ligne,6 Mars 1998,France,,
KEVIN KORNATH,Montpellier Hérault Rugby,3e ligne,27 Décembre 1996,France,,
Joketani Raikabula KOROI,Stade Français Paris,2e ligne,20 Août 1992,Nouvelle Zélande,,
Armandt KOSTER,Aviron Bayonnais,2e ligne,20 Janvier 1990,Pays-Bas,,
Daniel KOTZE,Castres Olympique,1ère ligne,28 Mars 1987,Afrique du Sud,187,120
Aurélien LABAU,SU Agen,Centre,13 Avril 1999,France,,
DORIAN LABORDE,Racing 92,Ailier,30 Décembre 1996,France,,
THEO LACHAUD,RC Toulon,1ère ligne,31 Août 2000,France,,
Virgile LACOMBE,Stade Toulousain,1ère ligne,7 Juillet 1984,France,181,105
MAXIME LAFAGE,Aviron Bayonnais,Demi d'ouverture,1 Septembre 1994,France,,
Raphael LAGARDE,SU Agen,Demi d'ouverture,30 Octobre 1988,France,182,92
Samuel LAGRANGE,Stade Rochelais,1ère ligne,23 Janvier 1997,France,,
GREIG LAIDLAW,ASM Clermont,Demi mêlée,12 Octobre 1985,Ecosse,,
RAPHAEL LAKAFIA,RC Toulon,3e ligne,28 Octobre 1988,France,191,114
Alexandre LALANNE,Aviron Bayonnais,1ère ligne,5 Février 2000,France,,
Ryan LAMB,Stade Rochelais,Demi d'ouverture,18 Mai 1986,Angleterre,,
Félix LAMBEY,LOU Rugby,2e ligne,15 Mars 1994,France,,
REMI LAMERAT,Union Bordeaux-Bègles,Centre,14 Janvier 1990,France,184,105
Mathieu LAMOULIE,SU Agen,Arrière,7 Août 1990,France,184,93
Geoffrey Lanne Petit,Section Paloise,,18 Février 1989,France,,
ALEXANDRE LAPANDRY,ASM Clermont,3e ligne,13 Avril 1989,France,193,99
Adrien LAPEGUE - LAFAYE,Stade Français Paris,Ailier,21 Octobre 1998,France,,
Clément LAPORTE,LOU Rugby,Arrière,7 Janvier 1998,France,,
THOMAS LARANJEIRA,CA Brive,Demi d'ouverture,5 Mai 1992,France,186,87
Franck LASCASSIES,Section Paloise,1ère ligne,9 Mai 1999,France,,
WENCESLAS LAURET,Racing 92,3e ligne,28 Mars 1989,France,188,104
Thomas LAVAULT,Stade Rochelais,2e ligne,3 Mai 1999,France,,
Martin LAVEAU,Castres Olympique,Ailier,10 Septembre 1996,France,,
THEO LAYGLON,Montpellier Hérault Rugby,Centre,14 Février 2001,France,,
Clovis LE BAIL,Section Paloise,Demi mêlée,29 Novembre 1995,France,,
MATTEO LE CORVEC,RC Toulon,3e ligne,4 Janvier 2001,France,,
KEVIN LE GUEN,Racing 92,1ère ligne,17 Novembre 1990,France,,
BERNARD LE ROUX,Racing 92,3e ligne,4 Juin 1989,Afrique du Sud,196,113
VICTOR LEBAS,CA Brive,2e ligne,9 Juin 1993,France,,
Matthis LEBEL,Stade Toulousain,Centre,25 Mars 1999,France,184,84
Nicolaas Jacobus LEE,CA Brive,Centre,13 Mars 1994,Afrique du Sud,,
FRITZ LEE,ASM Clermont,3e ligne,29 Août 1988,Samoa américain,188,107
Mitchell Robert LEES,CA Brive,2e ligne,12 Octobre 1988,Australie,,
Teddy LEFFLER,Section Paloise,1ère ligne,27 Mars 1998,France,,
YANN LESGOURGUES,Union Bordeaux-Bègles,Demi mêlée,17 Janvier 1991,France,177,76
GIGI LESHKASHELI,Montpellier Hérault Rugby,3e ligne,10 Juillet 2000,Géorgie,,
QUENTIN LESPIAUCQ,Section Paloise,1ère ligne,16 Février 1995,France,,
Marvin LESTREMAU,Section Paloise,Ailier,19 Juillet 1996,France,,
WILLEM ANDRIES LIEBENBERG,Stade Rochelais,3e ligne,31 Août 1992,Afrique du Sud,,
Thomas LITHAUD,LOU Rugby,1ère ligne,18 Janvier 2001,France,,
Vasil LOBZHANIDZE,CA Brive,Demi mêlée,14 Octobre 1996,Géorgie,,
Thomas LOMBARD,Stade Français Paris,,5 Juin 1975,188,100,
CAMILLE LOPEZ,ASM Clermont,Demi d'ouverture,3 Avril 1989,France,176,88
ROMAIN LOURSAC,LOU Rugby,Arrière,11 Novembre 1985,France,180,80
